grdc_no,lon,lat
0,-38.25,83.75
1,-37.75,83.75
2,-37.25,83.75
3,-36.75,83.75
4,-36.25,83.75
5,-35.75,83.75
6,-35.25,83.75
7,-34.75,83.75
8,-34.25,83.75
9,-33.75,83.75
10,-33.25,83.75
11,-32.75,83.75
12,-32.25,83.75
13,-31.75,83.75
14,-31.25,83.75
15,-30.75,83.75
16,-30.25,83.75
17,-29.75,83.75
18,-29.25,83.75
19,-28.75,83.75
20,-28.25,83.75
21,-73.25,83.25
22,-72.75,83.25
23,-72.25,83.25
24,-71.75,83.25
25,-71.25,83.25
26,-70.75,83.25
27,-70.25,83.25
28,-69.75,83.25
29,-69.25,83.25
30,-68.75,83.25
31,-68.25,83.25
32,-46.25,83.25
33,-45.75,83.25
34,-45.25,83.25
35,-44.75,83.25
36,-44.25,83.25
37,-43.75,83.25
38,-43.25,83.25
39,-42.75,83.25
40,-42.25,83.25
41,-41.75,83.25
42,-41.25,83.25
43,-40.75,83.25
44,-40.25,83.25
45,-39.75,83.25
46,-39.25,83.25
47,-38.75,83.25
48,-38.25,83.25
49,-37.75,83.25
50,-37.25,83.25
51,-36.75,83.25
52,-36.25,83.25
53,-35.75,83.25
54,-35.25,83.25
55,-34.75,83.25
56,-34.25,83.25
57,-33.75,83.25
58,-33.25,83.25
59,-32.75,83.25
60,-32.25,83.25
61,-31.75,83.25
62,-31.25,83.25
63,-30.75,83.25
64,-30.25,83.25
65,-29.75,83.25
66,-29.25,83.25
67,-28.75,83.25
68,-28.25,83.25
69,-27.75,83.25
70,-27.25,83.25
71,-26.75,83.25
72,-26.25,83.25
73,-25.75,83.25
74,-25.25,83.25
75,-24.75,83.25
76,-85.75,82.75
77,-85.25,82.75
78,-84.75,82.75
79,-81.75,82.75
80,-81.25,82.75
81,-80.75,82.75
82,-80.25,82.75
83,-79.75,82.75
84,-79.25,82.75
85,-78.75,82.75
86,-78.25,82.75
87,-77.75,82.75
88,-77.25,82.75
89,-76.75,82.75
90,-76.25,82.75
91,-75.75,82.75
92,-75.25,82.75
93,-74.75,82.75
94,-74.25,82.75
95,-73.75,82.75
96,-73.25,82.75
97,-72.75,82.75
98,-72.25,82.75
99,-71.75,82.75
100,-71.25,82.75
101,-70.75,82.75
102,-70.25,82.75
103,-69.75,82.75
104,-69.25,82.75
105,-68.75,82.75
106,-68.25,82.75
107,-67.75,82.75
108,-67.25,82.75
109,-66.75,82.75
110,-66.25,82.75
111,-65.75,82.75
112,-65.25,82.75
113,-64.75,82.75
114,-64.25,82.75
115,-63.75,82.75
116,-63.25,82.75
117,-62.75,82.75
118,-62.25,82.75
119,-49.75,82.75
120,-48.75,82.75
121,-48.25,82.75
122,-47.75,82.75
123,-47.25,82.75
124,-46.75,82.75
125,-46.25,82.75
126,-45.75,82.75
127,-45.25,82.75
128,-44.75,82.75
129,-44.25,82.75
130,-43.75,82.75
131,-43.25,82.75
132,-42.75,82.75
133,-42.25,82.75
134,-41.75,82.75
135,-41.25,82.75
136,-40.75,82.75
137,-40.25,82.75
138,-39.75,82.75
139,-39.25,82.75
140,-38.75,82.75
141,-38.25,82.75
142,-37.75,82.75
143,-37.25,82.75
144,-36.75,82.75
145,-36.25,82.75
146,-35.75,82.75
147,-35.25,82.75
148,-34.75,82.75
149,-34.25,82.75
150,-33.75,82.75
151,-33.25,82.75
152,-32.75,82.75
153,-32.25,82.75
154,-31.75,82.75
155,-31.25,82.75
156,-30.75,82.75
157,-30.25,82.75
158,-29.75,82.75
159,-29.25,82.75
160,-28.75,82.75
161,-28.25,82.75
162,-27.75,82.75
163,-27.25,82.75
164,-26.75,82.75
165,-26.25,82.75
166,-25.75,82.75
167,-25.25,82.75
168,-24.75,82.75
169,-24.25,82.75
170,-23.75,82.75
171,-23.25,82.75
172,-22.75,82.75
173,-22.25,82.75
174,-21.75,82.75
175,-21.25,82.75
176,-88.75,82.25
177,-88.25,82.25
178,-87.75,82.25
179,-87.25,82.25
180,-86.75,82.25
181,-86.25,82.25
182,-85.75,82.25
183,-85.25,82.25
184,-84.75,82.25
185,-84.25,82.25
186,-83.75,82.25
187,-83.25,82.25
188,-82.75,82.25
189,-82.25,82.25
190,-81.75,82.25
191,-81.25,82.25
192,-80.75,82.25
193,-80.25,82.25
194,-79.75,82.25
195,-79.25,82.25
196,-78.75,82.25
197,-78.25,82.25
198,-77.75,82.25
199,-77.25,82.25
200,-76.75,82.25
201,-76.25,82.25
202,-75.75,82.25
203,-75.25,82.25
204,-74.75,82.25
205,-74.25,82.25
206,-73.75,82.25
207,-73.25,82.25
208,-72.75,82.25
209,-72.25,82.25
210,-71.75,82.25
211,-71.25,82.25
212,-70.75,82.25
213,-70.25,82.25
214,-69.75,82.25
215,-69.25,82.25
216,-68.75,82.25
217,-68.25,82.25
218,-67.75,82.25
219,-67.25,82.25
220,-66.75,82.25
221,-66.25,82.25
222,-65.75,82.25
223,-65.25,82.25
224,-64.75,82.25
225,-64.25,82.25
226,-63.75,82.25
227,-63.25,82.25
228,-62.75,82.25
229,-62.25,82.25
230,-61.75,82.25
231,-61.25,82.25
232,-60.75,82.25
233,-60.25,82.25
234,-59.75,82.25
235,-59.25,82.25
236,-58.75,82.25
237,-58.25,82.25
238,-57.75,82.25
239,-57.25,82.25
240,-56.75,82.25
241,-56.25,82.25
242,-55.75,82.25
243,-55.25,82.25
244,-54.75,82.25
245,-54.25,82.25
246,-53.75,82.25
247,-53.25,82.25
248,-52.75,82.25
249,-52.25,82.25
250,-51.75,82.25
251,-51.25,82.25
252,-50.75,82.25
253,-50.25,82.25
254,-49.75,82.25
255,-49.25,82.25
